ID;DES_CARGO
1;Analista de Administra‡?o P£blica
10;Coronel
100;Analista de Atividades Rodovi rias
101;Auxiliar de Atividades Rodovi rias
102;T‚cnico de Atividades Rodovi rias
103;Agente de Atividades Rodovi rias
104;Analista de Transportes Urbanos
105;T‚cnico de Transportes Urbanos
106;Auxiliar de Transportes Urbanos
107;Assessor Legislativo
108;Consultor Legislativo
109;Assessor T‚cnico-Legislativo
11;Tenente Coronel
110;Consultor T‚cnico-Legislativo
111;Assistente Legislativo
112;Auxiliar Legislativo
113;Procurador Legislativo
114;T‚cnico Legislativo
115;Analista de Apoio …s Atividades Fazend rias
116;T‚cnico de Apoio Administrativo …s Atividades Fazend rias
117;Auxiliar de Apoio Administrativo …s Atividades Fazend rias
118;Analista Fazend rio
119;T‚cnico Fazend rio
12;Major
120;Auxiliar Fazend rio
121;Agente de Trƒnsito
122;Analista de Administra‡?o P£blica da FZDF
123;T‚cnico de Administra‡?o P£blica da FZDF
124;Auxiliar de Administra‡?o P£blica da FZDF
125;Analista de Desenvolvimento Agropecu rio
126;T‚cnico de Desenvolvimento Agropecu rio
127;Auxiliar de Desenvolvimento Agropecu rio
128;Analista de Desenvolvimento e Fiscaliza‡?o Agropecu ria
129;T‚cnico de Desenvolvimento e Fiscaliza‡?o Agropecu ria
13;Capit?o
130;Auxiliar de Desenvolvimento e Fiscaliza‡?o Agropecu ria
131;Analista de Administra‡?o P£blica DETRAN
132;T‚cnico de Administra‡?o P£blica do DETRAN
133;Auxiliar de Administra‡?o P£blica do DETRAN
134;Agente de Trƒnsito
135;Inspetor de Trƒnsito
136;Analista de Administra‡?o P£blica do SLU
137;T‚cnico de Administra‡?o P£blica do SLU
138;Auxiliar de Administra‡?o P£blica do SLU
139;Auditor de Controle Externo
14;Primeiro-Tenente
140;T‚cnico de Controle Externo
141;Analista de Administra‡?o P£blica - TCDF
142;T‚cnico de Administra‡?o P£blica do TCDF-A
143;Auxiliar de Administra‡?o P£blica do TCDF-A
144;Analista de Finan‡as e Controle Externo
145;T‚cnico de Finan‡as e Controle Externo
146;Analista de Administra‡?o P£blica do TCDF
147;T‚cnico de Administra‡?o P£blica do TCDF-A
