ID;DES_FUNDAMENTO;DES_EMENTA
1;Artigo 40, inciso I, e ? 4§, da CRFB, e artigos 186, inciso I, ? 1§, e 189, par grafo £nico, da Lei n§ 8.112/90, combinados com os artigos 3§ e 7§ da Emenda Constitucional n§ 41/03;Constitui‡?o original c/c o artigo 3§ da EC 41/03. Aposentadoria por invalidez qualificada. Proventos integrais, calculados pela £ltima remunera‡?o. Paridade. Requisitos implementados at‚ 31/12/03.
2;Artigo 40, inciso I, in fine, e ? 4§, da CRFB, e artigos 186, inciso I, in fine, e 189, par grafo £nico, da Lei n§ 8.112/90, combinados com os artigos 3§ e 7§ da Emenda Constitucional n§ 41/03;Constitui‡?o original c/c o artigo 3§ da EC 41/03. Aposentadoria por invalidez simples. Proventos proporcionais, calculados pela £ltima remunera‡?o. Paridade. Requisitos implementados at‚ 31/12/03.
3;"""Artigo 40, inciso III, al¡nea """"b"""", e ? 4§, da CRFB, e artigos 186, inciso III, al¡nea """"b"""", e 189, par grafo £nico, da Lei n§ 8.112/90, combinados com os artigos 3§ e 7§ da Emenda Constitucional n§ 41/03""";Constitui‡?o original c/c o artigo 3§ da EC 41/03. Aposentadoria especial de professor. Proventos integrais, calculados pela £ltima remunera‡?o. Paridade. Requisitos implementados at‚ 16/12/98.
4;"""Artigo 40, inciso III, al¡nea """"c"""", e ? 4§, da CRFB, e artigos 186, inciso III, al¡nea """"c"""", e 189, par grafo £nico, da Lei n§ 8.112/90, combinados com os artigos 3§ e 7§ da Emenda Constitucional n§ 41/03""";Constitui‡?o original c/c o artigo 3§ da EC 41/03. Aposentadoria volunt ria, com proventos proporcionais. C lculo pela £ltima remunera‡?o. Paridade. Requisitos implementados at‚ 16/12/98.
5;"""Artigo 40, inciso III, al¡nea """"d"""", e ? 4§, da CRFB, e artigos 186, inciso III, al¡nea """"d"""", e 189, par grafo £nico, da Lei n§ 8.112/90, combinados com os artigos 3§ e 7§ da Emenda Constitucional n§ 41/03""";Constitui‡?o original c/c o artigo 3§ da EC 41/03. Aposentadoria volunt ria por idade (65 anos - homem ou 60 anos - mulher). Proventos proporcionais, calculados pela £ltima remunera‡?o. Paridade. Requisitos implementados at‚ 31/12/2003.
6;Artigo 40, ? 1§, inciso I, e ?? 3§ e 8§, da CRFB, na reda‡?o da Emenda Constitucional n§ 20/98, combinado com os artigos 3§ e 7§ da Emenda Constitucional n§ 41/03;Constitui‡?o na reda‡?o da EC 20/98 c/c o artigo 3§ da EC 41/03. Aposentadoria por invalidez simples. Proventos proporcionais, calculados pela £ltima remunera‡?o. Paridade. Requisitos implementados entre 16/12/98 e 31/12/03.
7;Artigo 40, ? 1§, inciso I, in fine, e ?? 3§ e 8§, da CRFB, na reda‡?o da Emenda Constitucional n§ 20/98, e artigo 186, inciso I, ? 1§, da Lei n§ 8.112/90, combinados com os artigos 3§ e 7§ da Emenda Constitucional n§ 41/03;Constitui‡?o na reda‡?o da EC 20/98 c/c o artigo 3§ da EC 41/03. Aposentadoria por invalidez qualificada. Proventos integrais, calculados pela £ltima remunera‡?o. Paridade. Requisitos implementados entre 16/12/98 e 31/12/03.
9;"""Artigo 40, ? 1§, inciso III, al¡nea """"a"""", e ?? 3§, 5§ e 8§, da CRFB, na reda‡?o da Emenda Constitucional n§ 20/98, combinado com os artigos 3§ e 7§ da Emenda Constitucional n§ 41/03""";Constitui‡?o na reda‡?o da EC 20/98 c/c o artigo 3§ da EC 41/03. Aposentadoria especial de professor, com proventos integrais. C lculo pela £ltima remunera‡?o. Paridade. Requisitos implementados at‚ 31/12/03. Exigido tempo exclusivo de fun‡?es de magist‚r
10;"""Artigo 40, ? 1§,inciso III, al¡nea """"b"""", e ?? 3§ e 8§, da CRFB, na reda‡?o da Emenda Constitucional n§ 20/98, combinado com os artigos 3§ e 7§ da Emenda Constitucional n§ 41/03""";Constitui‡?o na reda‡?o da EC 20/98 c/c o artigo 3§ da EC 41/03. Aposentadoria volunt ria por idade (65 anos-homem ou 60 anos-mulher, 10 anos de servi‡o p£blico e 05 anos no cargo). Proventos proporcionais, calculados pela £ltima remunera‡?o. Paridade. Re
11;"""Artigo 8§, ? 1§, inciso I, al¡neas """"a"""" e """"b"""", e II, da Emenda Constitucional n§ 20/98, e artigo 40, ?? 3§ e 8§, da CRFB, na reda‡?o dessa Emenda, combinados com os artigos 3§ e 7§ da Emenda Constitucional n§ 41/03""";Regra de transi‡?o da EC 20/98 c/c o artigo 3§ da EC 41/03. Aposentadoria volunt ria, com proventos proporcionais. C lculo pela £ltima remunera‡?o. Paridade. Requisitos implementados at‚ 31/12/03. Ped gio de 40%.
12;"""Artigo 8§, ? 1§, inciso I, al¡neas """"a"""" e """"b"""", e II, e ?? 2§ e 3§, da Emenda Constitucional n§ 20/98, e artigo 40, ?? 3§ e 8§, da CRFB, na reda‡?o dessa Emenda, combinados com os artigos 3§ e 7§ da Emenda Constitucional n§ 41/03""";Regra de transi‡?o da EC 20/98 c/c o artigo 3§ da EC 41/03. Aposentadoria especial de magistrado e de membro do Minist‚rio P£blico ou do Tribunal de Contas (somente homem). Proventos proporcionais, calculados pela £ltima remunera‡?o. Paridade. Requisitos
